1102 KIM,S.
1081 WOOD,W.I.
1079 GURNEY,A.L.
1043 GODDARD,A.
996 LEE,S.
944 KIM,J.
866 LEE,J.
775 GODOWSKI,P.J.
751 NAKAMURA,Y.
628 KIM,Y.
592 KIM,H.
584 LI,Y.
561 ROSEN,C.A.
549 ZHANG,Y.
539 GOLZ,S.
535 LEE,H.
529 RUBEN,S.M.
521 WANG,Y.
514 PARK,J.
499 YUE,H.
494 SMITH,V.
459 WANG,J.
454 KIM,D.
452 BRUEGGEMEIER,U.
450 WANG,H.
439 WATANABE,C.K.
436 HILLMAN,J.L.
431 BAUGHN,M.R.
421 PARK,S.
414 LIU,Y.
407 LEE,K.
407 GEERTS,A.
405 KIM,J.H.
391 KATO,I.
388 LAL,P.
385 LEE,Y.
380 ZHANG,J.
378 LEE,J.H.
378 BANDMAN,O.
378 SAHIN,U.
374 CHEN,J.
360 LI,X.
359 LEE,S.H.
357 YANG,J.
354 NAKAMURA,T.
353 WATANABE,T.
347 KIM,K.
340 TANAKA,Y.
340 NI,J.
340 MURPHY,A.J.
335 SUZUKI,T.
333 ZHANG,Z.
329 LIU,J.
329 TSUNODA,T.
328 KIM,M.
326 CORLEY,N.C.
326 BEASLEY,E.M.
320 CHEN,Y.
309 LI,H.
307 LI,Z.
304 ZHANG,X.
304 MANOHARAN,M.
299 LI,J.
299 FREIER,S.M.
296 JAKOBOVITS,A.
296 PARK,H.
295 ZHANG,H.
287 TANAKA,H.
287 XU,J.
286 WANG,X.
284 LEE,S.Y.
283 TANAKA,T.
281 SATO,T.
279 TAKAHASHI,K.
279 NAKAMURA,K.
276 ITO,Y.
273 TANG,T.Y.
273 ZELDER,O.
273 KIM,H.J.
270 WANG,L.
269 WU,Y.
267 LU,Y.
263 BAKER,K.P.
262 ITO,K.
262 KOBAYASHI,T.
261 PARK,Y.
260 ITO,M.
259 KOBAYASHI,M.
258 GOLDENBERG,D.M.
257 SUZUKI,M.
248 LIU,C.
248 RAITANO,A.B.
241 KIM,S.H.
239 SHEPPARD,P.O.
238 FERRARA,N.
237 TAKAHASHI,M.
237 LIU,L.
236 LI,L.
234 COLLARD,J.
233 SVENDSEN,A.
232 YAMADA,K.
231 SATO,M.
231 MACDONALD,L.
229 GRANDI,G.
229 TAKAHASHI,H.
